,PPG_Rate,EDA_Tonic,EDA_Phasic,Condition,Gender
1,54.70632341914518,0.09465624620081053,-0.0020177760078686252,neutral,zena
2,-15.211107156671709,0.0007932974189348713,0.0013422180348625881,pozitivni,zena
3,8.07200206510361,0.0038052664950541937,0.0013179153380898103,neutral,zena
4,-0.5599611973691694,0.004563455388240822,0.002214877641528799,pozitivni,zena
5,9.380162375212265,0.004841271483150028,0.0022067788241818594,neutral,zena
6,-3.942095387773051,0.004818232061035571,0.0025470305350113443,pozitivni,zena
1,79.75748860362867,2.6224963529641045,0.06706510552781483,neutral,muz
2,-34.13841231114724,-0.09533862661201686,-0.09220579366075896,pozitivni,muz
3,-24.499005626065816,-0.2690855470833373,-0.07098033261103884,neutral,muz
4,26.889197578109048,-0.2513313187161166,-0.10499117417884607,pozitivni,muz
5,-14.474586734472979,-0.18072242946772032,-0.06538762779480545,neutral,muz
6,-34.05562812625238,-0.22400161645790506,-0.08118352416748627,pozitivni,muz
1,60.628107490327984,0.10454614658434652,0.0004286073924887026,neutral,muz
2,-1.0739693393328764,0.0009798806868588361,-0.0008175564345945512,pozitivni,muz
3,0.6846955777288741,0.0009648753709150665,7.373001590133021e-05,neutral,muz
4,-12.584178042313582,0.0009434481685537816,9.127630657625131e-05,pozitivni,muz
5,-17.704905117101497,0.002504373993669387,-0.0010693307977442208,neutral,muz
6,-5.038330581731103,0.0025365028828553404,-0.0008167936622295207,pozitivni,muz
1,62.89245982694684,0.15430525190930516,-0.0005719877379136323,neutral,zena
2,-22.284980493340967,-0.0011206292287314346,0.0019995014638561704,radost,zena
3,28.39864098682049,0.0022047820263205176,0.003977172058403797,neutral,zena
4,-30.83767504071701,0.0031873667954397944,0.0003051603351148462,radost,zena
5,-16.140511054690315,0.004888658403331941,0.0009326794660556598,neutral,zena
6,-17.461306119964014,0.005791364930994858,-0.0003131791385809333,radost,zena
1,88.32037035866108,0.3576009727803169,-0.010135371058676122,neutral,muz
2,-38.403231763001315,-0.014052513034117864,0.006757312673170507,radost,muz
3,-24.328643083207083,-0.012834444165864822,0.01182542260027931,neutral,muz
4,-39.751347758540994,-0.013188864441599835,0.00930033141272863,radost,muz
5,-33.77614416965618,-0.00708600847227242,0.011752012486624904,neutral,muz
6,-37.60852589130304,-0.006624174633543145,0.011012300111374187,radost,muz
1,84.44307428825087,0.3378727931218686,0.0007844478049317076,neutral,muz
2,-43.41804195521324,-0.00047372451444283037,-0.002757078034578679,radost,muz
3,-35.38469783689093,-0.0008588064014916075,-0.00239822768135593,neutral,muz
4,-41.79828287748901,-0.0028161331353980246,-0.0015359064226114672,radost,muz
5,-3.0341110130131455,-0.0014341010431577206,-0.001347443939968954,neutral,muz
6,-37.31333182006117,-0.0017006716162347724,0.0015891030501285076,radost,muz
1,72.07705606322548,1.217424231922225,-0.00877771065365101,neutral,muz
2,53.030542458402536,-0.0015626766041443307,-0.01510122263733452,radost,muz
3,-12.198733509861974,-0.08069366393982969,-0.003064622822619956,neutral,muz
4,-6.115386295794281,-0.08273525277544813,-0.028794710781701163,radost,muz
5,-28.97549044242532,-0.09639982450052464,-0.01706703692052928,neutral,muz
6,-11.850319648812395,-0.13968798441392716,-0.011292247658584172,radost,muz
1,75.83757897154963,2.2956559866867217,0.015198457074953346,neutral,muz
2,5.417640102534094,-0.09285507615817723,0.0042780193607925305,radost,muz
3,-0.02044498534043271,-0.29000411763356926,-0.00863438378460809,neutral,muz
4,36.886534625033406,-0.2706662233463506,-0.07605716051330258,radost,muz
5,42.786228271035284,-0.14846082637568792,-0.03877092869865781,neutral,muz
6,6.44276180262861,-0.2641193115143423,0.018058258991190672,radost,muz
1,72.39890845943935,0.13742878978073805,-0.0030581254697240414,neutral,zena
2,-23.76267979289962,0.004465551094006731,-0.00198644894454245,radost,zena
3,8.977263302059882,0.0024314298726731687,-0.000859500533629418,neutral,zena
4,19.0591326202738,0.0021558547204084955,-0.0003781974213367804,radost,zena
5,-10.493822641766002,-0.0010530546682020192,-0.0019546725365285,neutral,zena
6,-17.429873924696565,-0.0013210140303119566,0.003704721360618869,radost,zena
1,74.54049135577795,0.15589170968542318,-0.013928918228179621,neutral,zena
2,-13.81764716551821,-0.004454474115209467,0.010110372283048768,radost,zena
3,6.301479788199629,-0.009062896233532791,0.01116734779419341,neutral,zena
4,-0.24218025627570228,-0.011996296035114096,0.008554855086832253,radost,zena
5,-20.509932156442247,-0.018048919527884982,0.01231300053993865,neutral,zena
6,-9.703668224730976,-0.020954015091283057,0.014113646844070467,radost,zena
1,75.13546056592416,1.1117080935670733,0.021942894620821843,neutral,muz
2,-0.39627689113869735,-0.014849231791555395,-0.024498856084127857,radost,muz
3,5.996049262753942,0.04497286861220218,-0.0019891102082967085,neutral,muz
4,-3.8020390630644414,0.027701653272048432,-0.019162483605174377,radost,muz
5,-23.016963076273,-0.027269313401676376,0.006069064894878493,neutral,muz
6,-3.8414651050631363,-0.04482087065734497,-0.015713658901051607,radost,muz
1,85.80466984684908,0.1986495715072151,0.0062443683039908405,neutral,zena
2,50.69509034433922,0.0030823560671756345,-0.020723445993480406,radost,zena
3,13.093621222696854,0.014936766294797205,-0.03130345233337578,neutral,zena
4,-14.35171663760066,0.013385428806636929,-0.007769532814299623,radost,zena
5,-19.964619364468177,0.0943739208505793,0.0028397758389970317,neutral,zena
6,7.047410300234134,0.09033642502232545,-0.012808776937378762,radost,zena
1,75.22591389728507,0.09596685289713533,0.0007802985690361801,neutral,zena
2,5.35166690818447,0.000931532386663006,-0.0005904410054762181,radost,zena
3,-7.026424752650371,0.004223612952038824,-0.0009814390748319511,neutral,zena
4,-31.591743411995076,0.005238357750264738,-0.000448716770837727,radost,zena
5,-28.748797713519572,0.009567475969487996,-0.0022185207667956572,neutral,zena
6,11.915446845897577,0.010329037782976419,-0.0016731983764368902,radost,zena
1,80.95325389550877,0.2482582451343444,-0.0014414296250056587,neutral,muz
2,-9.534988371433727,0.0013925608034181247,0.010352185365396172,radost,muz
